NameYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,PrevYear
Chris_Paul_2020,Chris Paul,G,UFA,PHO,"16.4 Pts, 4.5 Reb, 8.9 Ast",PHO,/players/p/paulch01.html,175,6-0,35.0,PHO,70.0,70.0,31.4,0.499,1.5,0.395,3.7,2.4,0.934,2.6,0.4,4.5,8.9,1.4,0.3,2.2,16.4,22.6,0.599,21.4,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,"$41,358,814",0.0,2020
Kawhi_Leonard_2020,Kawhi Leonard,F,UFA,LAC,"24.8 Pts, 6.5 Reb, 5.2 Ast",LAC,/players/l/leonaka01.html,225,6-7,29.0,LAC,52,52,34.1,.512,1.9,.398,4.9,5.0,.885,5.7,1.1,6.5,5.2,1.6,0.4,2.0,24.8,28.6,0.622,26.0,6.4,2.4,8.8,0.238,6.0,1.3,7.3,4.2,"$34,379,100",0.0,2020
Enes_Freedom_2020,Enes Freedom,C,UFA,POR,"11.2 Pts, 11.0 Reb, 1.2 Ast",BOS,/players/k/kanteen01.html,250,6-10,28.0,POR,72.0,35.0,24.4,0.604,0.0,0.25,0.1,1.8,0.774,2.3,3.9,11.0,1.2,0.5,0.7,1.1,11.2,17.4,0.636,22.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2,"$5,005,350",0.0,2020
DeMar_DeRozan_2020,DeMar DeRozan,G-F,UFA,SAS,"21.6 Pts, 4.2 Reb, 6.9 Ast",CHI,/players/d/derozde01.html,220,6-6,31.0,SAS,61.0,61.0,33.7,0.495,0.3,0.257,1.2,6.3,0.88,7.2,0.7,4.2,6.9,0.9,0.2,2.0,21.6,26.1,0.591,22.0,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,"$27,739,975",0.0,2020
John_Collins_2020,John Collins,F,RFA,ATL,"17.6 Pts, 7.4 Reb, 1.2 Ast",ATL,/players/c/collijo01.html,235,6-9,23.0,ATL,63,63,29.3,0.556,1.3,0.399,3.3,2.7,0.833,3.2,1.9,7.4,1.2,0.5,1.0,1.3,17.6,22.2,0.645,20.6,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2.0,"$4,137,302",0.0,2020
Jarrett_Allen_2020,Jarrett Allen,C-F,RFA,CLE,"12.8 Pts, 10.0 Reb, 1.7 Ast",CLE,/players/a/allenja01.html,243,6-11,22.0,TOT,63.0,45.0,29.6,0.618,0.1,0.316,0.3,3.2,0.703,4.6,3.1,10.0,1.7,0.5,1.4,1.6,12.8,16.6,0.661,20.1,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,"$3,909,902",0.0,2020
Mike_Conley_2020,Mike Conley,G,UFA,UTA,"16.2 Pts, 3.5 Reb, 6.0 Ast",UTA,/players/c/conlemi01.html,175,6-1,33.0,UTA,51.0,51.0,29.4,0.444,2.7,0.412,6.6,2.4,0.852,2.8,0.7,3.5,6.0,1.4,0.2,1.9,16.2,23.1,0.589,19.2,4.0,2.1,6.1,0.197,3.6,1.3,4.9,2.6,"$34,504,132",0.0,2020
Richaun_Holmes_2020,Richaun Holmes,F-C,UFA,SAC,"14.2 Pts, 8.3 Reb, 1.7 Ast",SAC,/players/h/holmeri01.html,235,6-10,27.0,SAC,61.0,61.0,29.2,0.637,0.0,0.182,0.2,2.2,0.794,2.8,2.4,8.3,1.7,0.6,1.6,1.2,14.2,17.5,0.669,20.2,4.7,1.4,6.1,0.165,0.6,0.0,0.6,1.2,"$5,005,350",0.0,2020
Nerlens_Noel_2020,Nerlens Noel,C-F,UFA,NYK,"5.1 Pts, 6.4 Reb, 0.7 Ast",NYK,/players/n/noelne01.html,220,6-11,26.0,NYK,64,41,24.2,.614,0.0,.000,0.0,0.8,.714,1.1,2.2,6.4,0.7,1.1,2.2,1.0,5.1,9.2,0.638,14.8,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,"$5,000,000",0.0,2020
Kelly_Olynyk_2020,Kelly Olynyk,C-F,UFA,HOU,"13.5 Pts, 7.0 Reb, 2.9 Ast",DET,/players/o/olynyke01.html,240,6-11,29.0,TOT,70.0,62.0,28.5,0.484,1.8,0.342,5.3,2.1,0.829,2.5,1.2,7.0,2.9,1.1,0.6,1.8,13.5,19.7,0.61,16.4,2.5,2.6,5.1,0.121,0.3,0.9,1.2,1.6,"$12,819,649",0.0,2020
Nicolas_Batum_2020,Nicolas Batum,F-G,UFA,LAC,"8.1 Pts, 4.7 Reb, 2.2 Ast",LAC,/players/b/batumni01.html,230,6-8,32.0,LAC,67.0,38.0,27.4,0.464,1.6,0.404,4.1,0.7,0.828,0.9,0.7,4.7,2.2,1.0,0.6,0.8,8.1,11.8,0.617,12.9,2.7,2.3,5.0,0.132,0.6,1.5,2.1,1.9,"$9,043,478$2,564,753",0.0,2020
TJ_McConnell_2020,T.J. McConnell,G,UFA,IND,"8.6 Pts, 3.7 Reb, 6.6 Ast",IND,/players/m/mccontj01.html,190,6-1,28.0,IND,69.0,3.0,26.0,0.559,0.2,0.313,0.7,0.5,0.688,0.7,0.8,3.7,6.6,1.9,0.3,2.0,8.6,15.3,0.583,16.9,2.6,2.2,4.8,0.128,-0.2,1.7,1.4,1.5,"$3,500,000",0.0,2020
Bobby_Portis_2020,Bobby Portis,F,UFA,MIL,"11.4 Pts, 7.1 Reb, 1.1 Ast",MIL,/players/p/portibo01.html,250,6-10,25.0,MIL,66.0,7.0,20.8,0.523,1.1,0.471,2.4,0.8,0.74,1.1,1.9,7.1,1.1,0.8,0.4,0.8,11.4,20.9,0.598,19.9,2.8,2.0,4.8,0.167,1.8,-0.4,1.5,1.2,"$3,623,000",0.0,2020
Norman_Powell_2020,Norman Powell,G,UFA,POR,"18.6 Pts, 3.1 Reb, 1.9 Ast",POR,/players/p/powelno01.html,215,6-3,27.0,TOT,69.0,58.0,32.0,0.477,2.5,0.411,6.0,3.4,0.871,3.9,0.6,3.1,1.9,1.2,0.3,1.7,18.6,22.6,0.618,16.2,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3,"$10,865,952",0.0,2020
Reggie_Bullock_2020,Reggie Bullock,G-F,UFA,NYK,"10.9 Pts, 3.4 Reb, 1.5 Ast",DAL,/players/b/bullore01.html,205,6-6,29.0,NYK,65.0,64.0,30.0,0.442,2.5,0.41,6.1,0.8,0.909,0.8,0.2,3.4,1.5,0.8,0.2,0.7,10.9,14.4,0.606,11.1,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9,"$4,200,000",0.0,2020
Danny_Green_2020,Danny Green,G-F,UFA,PHI,"9.5 Pts, 3.8 Reb, 1.7 Ast",PHI,/players/g/greenda02.html,215,6-6,33.0,PHI,69.0,69.0,28.0,0.412,2.5,0.405,6.3,0.4,0.775,0.6,0.8,3.8,1.7,1.3,0.8,1.0,9.5,14.0,0.582,12.1,1.6,3.1,4.6,0.115,0.4,1.5,1.9,1.9,"$15,365,853",0.0,2020
Bruce_Brown_2020,Bruce Brown,G,RFA,BRK,"8.8 Pts, 5.4 Reb, 1.6 Ast",BRK,/players/b/brownbr01.html,202,6-4,24.0,BRK,65.0,37.0,22.3,0.556,0.3,0.288,0.9,1.3,0.735,1.8,1.7,5.4,1.6,0.9,0.4,0.8,8.8,15.9,0.604,16.1,2.8,1.5,4.4,0.144,-0.4,0.2,-0.1,0.7,"$1,663,861",0.0,2020
Tim_Hardaway_Jr_2020,Tim Hardaway Jr.,G,UFA,DAL,"16.6 Pts, 3.3 Reb, 1.8 Ast",DAL,/players/h/hardati02.html,205,6-5,28.0,DAL,70.0,31.0,28.4,0.447,3.0,0.391,7.6,2.0,0.816,2.5,0.3,3.3,1.8,0.4,0.2,0.9,16.6,23.4,0.589,15.7,3.2,1.2,4.3,0.105,2.0,-1.7,0.4,1.2,"$18,975,000",0.0,2020
Daniel_Theis_2020,Daniel Theis,C,UFA,CHI,"9.6 Pts, 5.5 Reb, 1.7 Ast",HOU,/players/t/theisda01.html,245,6-8,28.0,TOT,65.0,51.0,24.6,0.541,0.8,0.322,2.3,1.1,0.673,1.7,1.4,5.5,1.7,0.6,0.9,1.0,9.6,15.6,0.609,15.0,2.4,1.8,4.3,0.128,-0.7,0.7,0.0,0.8,"$5,000,000",0.0,2020
Jeff_Green_2020,Jeff Green,F,UFA,BRK,"11.0 Pts, 3.9 Reb, 1.6 Ast",DEN,/players/g/greenje02.html,235,6-8,34.0,BRK,68,38,27.0,.492,1.5,.412,3.7,1.8,.776,2.4,0.5,3.9,1.6,0.5,0.4,0.8,11.0,15.6,0.624,13.0,2.9,1.2,4.1,0.107,0.0,-0.9,-0.8,0.6,"$2,564,753",0.0,2020
Kyle_Lowry_2020,Kyle Lowry,G,UFA,TOR,"17.2 Pts, 5.4 Reb, 7.3 Ast",MIA,/players/l/lowryky01.html,196,6-0,34.0,TOR,46.0,46.0,34.8,0.436,2.8,0.396,7.2,3.0,0.875,3.5,0.8,5.4,7.3,1.0,0.3,2.7,17.2,21.4,0.593,16.5,2.9,1.3,4.1,0.124,2.0,-0.4,1.6,1.5,"$30,500,000",0.0,2020
Dwight_Howard_2020,Dwight Howard,C,UFA,PHI,"7.0 Pts, 8.4 Reb, 0.9 Ast",LAL,/players/h/howardw01.html,265,6-10,35.0,PHI,69.0,6.0,17.3,0.587,0.1,0.25,0.3,1.8,0.576,3.0,2.8,8.4,0.9,0.4,0.9,1.6,7.0,18.2,0.61,17.8,1.3,2.6,4.0,0.159,-2.1,0.6,-1.5,0.1,"$2,564,753",0.0,2020
DeAndre_Jordan_2020,DeAndre Jordan,C,UFA,DET,"7.5 Pts, 7.5 Reb, 1.6 Ast",LAL,/players/j/jordade01.html,265,6-11,32.0,BRK,57.0,43.0,21.9,0.763,0.0,0.0,0.0,0.8,0.5,1.6,2.1,7.5,1.6,0.3,1.1,1.5,7.5,13.1,0.736,17.1,2.4,1.5,3.9,0.152,0.1,1.0,1.0,0.9,"$10,375,678",0.0,2020
Khem_Birch_2020,Khem Birch,C-F,UFA,TOR,"7.2 Pts, 5.8 Reb, 1.3 Ast",TOR,/players/b/birchkh01.html,233,6-9,28.0,TOT,67.0,22.0,22.8,0.497,0.2,0.25,0.8,1.4,0.705,1.9,2.6,5.8,1.3,0.7,0.7,0.7,7.2,13.6,0.552,15.1,2.3,1.4,3.8,0.118,-1.0,0.1,-1.0,0.4,"$2,586,036$425,463",0.0,2020
Taj_Gibson_2020,Taj Gibson,F,UFA,NYK,"5.4 Pts, 5.6 Reb, 0.8 Ast",NYK,/players/g/gibsota01.html,232,6-9,35.0,NYK,45.0,3.0,20.8,0.627,0.1,0.2,0.3,0.9,0.727,1.2,2.2,5.6,0.8,0.7,1.1,0.5,5.4,9.7,0.661,16.0,2.1,1.7,3.8,0.195,-0.7,2.1,1.3,0.8,"$3,283,684",0.0,2020
Doug_McDermott_2020,Doug McDermott,F,UFA,IND,"13.6 Pts, 3.3 Reb, 1.3 Ast",SAS,/players/m/mcderdo01.html,225,6-7,29.0,IND,66.0,29.0,24.5,0.532,1.7,0.388,4.3,1.2,0.816,1.5,0.9,3.3,1.3,0.3,0.1,0.8,13.6,20.0,0.635,15.6,3.1,0.7,3.8,0.112,1.4,-2.0,-0.6,0.6,"$7,333,333",0.0,2020
Dennis_Schroder_2020,Dennis Schröder,G,UFA,LAL,"15.4 Pts, 3.5 Reb, 5.8 Ast",BOS,/players/s/schrode01.html,172,6-3,27.0,LAL,61.0,61.0,32.1,0.437,1.2,0.335,3.5,3.4,0.848,4.0,0.5,3.5,5.8,1.1,0.2,2.7,15.4,22.9,0.543,13.8,1.0,2.7,3.8,0.093,-1.3,0.1,-1.2,0.4,"$16,000,000",0.0,2020
Reggie_Jackson_2020,Reggie Jackson,G,UFA,LAC,"10.7 Pts, 2.9 Reb, 3.1 Ast",LAC,/players/j/jacksre01.html,208,6-2,30.0,LAC,67.0,43.0,23.0,0.45,1.8,0.433,4.2,1.0,0.817,1.2,0.4,2.9,3.1,0.6,0.1,1.1,10.7,19.9,0.576,14.2,2.3,1.4,3.7,0.115,0.6,-0.2,0.4,0.9,"$2,331,593",0.0,2020
Robin_Lopez_2020,Robin Lopez,C,UFA,WAS,"9.0 Pts, 3.8 Reb, 0.8 Ast",ORL,/players/l/lopezro01.html,281,7-0,32.0,WAS,71.0,9.0,19.1,0.633,0.1,0.278,0.3,1.4,0.723,1.9,2.0,3.8,0.8,0.2,0.6,1.1,9.0,17.1,0.661,16.7,2.8,0.9,3.7,0.131,0.2,-1.2,-1.0,0.4,"$7,300,000",0.0,2020
Duncan_Robinson_2020,Duncan Robinson,G-F,RFA,MIA,"13.1 Pts, 3.5 Reb, 1.8 Ast",MIA,/players/r/robindu01.html,215,6-7,26.0,MIA,72,72,31.4,0.439,3.5,0.408,8.5,0.9,0.827,1.0,0.1,3.5,1.8,0.6,0.3,1.1,13.1,16.6,0.628,11.0,1.9,1.8,3.7,0.079,-0.2,-0.8,-1.0,0.6,"$1,663,861",0.0,2020
Cameron_Payne_2020,Cameron Payne,G,UFA,PHO,"8.4 Pts, 2.4 Reb, 3.6 Ast",PHO,/players/p/payneca01.html,183,6-1,26.0,PHO,60.0,1.0,18.0,0.484,1.2,0.44,2.8,0.8,0.893,0.9,0.3,2.4,3.6,0.6,0.3,1.0,8.4,19.8,0.602,17.4,2.4,1.2,3.6,0.158,2.1,1.0,3.1,1.4,"$1,977,011",0.0,2020
Devonte_Graham_2020,Devonte' Graham,G,RFA,CHO,"14.8 Pts, 2.7 Reb, 5.4 Ast",NOP,/players/g/grahade01.html,195,6-1,25.0,CHO,55.0,44.0,30.2,0.377,3.3,0.375,8.7,2.4,0.842,2.9,0.4,2.7,5.4,0.9,0.1,1.5,14.8,21.4,0.552,14.6,2.5,0.9,3.4,0.099,1.8,-1.1,0.7,1.1,"$1,663,861",0.0,2020
Kevon_Looney_2020,Kevon Looney,F-C,UFA,GSW,"4.1 Pts, 5.3 Reb, 2.0 Ast",,/players/l/looneke01.html,222,6-9,24.0,GSW,61,34,19.0,0.548,0.1,0.235,0.3,0.5,0.646,0.8,1.9,5.3,2.0,0.3,0.4,0.6,4.1,9.4,0.575,11.9,2.0,1.4,3.4,0.139,-1.8,1.0,-0.9,0.3,"$4,821,429",0.0,2020
Mitchell_Robinson_2020,Mitchell Robinson,C,RFA,NYK,"8.3 Pts, 8.1 Reb, 0.5 Ast",,/players/r/robinmi01.html,240,7-0,22.0,NYK,31,29,27.5,0.653,0.0,,0.0,0.8,0.491,1.7,3.6,8.1,0.5,1.1,1.5,0.8,8.3,11.8,0.642,17.7,1.8,1.7,3.4,0.192,-0.3,1.5,1.2,0.7,"$1,663,861",0.0,2020
Alec_Burks_2020,Alec Burks,G,UFA,NYK,"12.7 Pts, 4.6 Reb, 2.2 Ast",NYK,/players/b/burksal01.html,214,6-6,29.0,NYK,49.0,5.0,25.6,0.42,2.1,0.415,5.0,2.1,0.856,2.4,0.4,4.6,2.2,0.6,0.3,1.0,12.7,21.3,0.564,14.8,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1,"$6,000,000",0.0,2020
Kemba_Walker_2020,Kemba Walker,G,UFA,OKC,"19.3 Pts, 4.0 Reb, 4.9 Ast",NYK,/players/w/walkeke02.html,184,6-0,30.0,BOS,43.0,43.0,31.8,0.42,3.0,0.36,8.2,3.1,0.899,3.5,0.4,4.0,4.9,1.1,0.3,2.0,19.3,26.1,0.559,17.7,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,"$34,379,100",0.0,2020
Cody_Zeller_2020,Cody Zeller,C-F,UFA,CHO,"9.4 Pts, 6.8 Reb, 1.8 Ast",POR,/players/z/zelleco01.html,240,6-11,28.0,CHO,48.0,21.0,20.9,0.559,0.1,0.143,0.6,1.8,0.714,2.5,2.5,6.8,1.8,0.6,0.4,1.1,9.4,18.3,0.599,18.2,2.1,1.1,3.3,0.156,-0.2,-0.2,-0.5,0.4,"$15,415,730",0.0,2020
Lonzo_Ball_2020,Lonzo Ball,G,RFA,NOP,"14.6 Pts, 4.8 Reb, 5.7 Ast",CHI,/players/b/balllo01.html,190,6-6,23.0,NOP,55.0,55.0,31.8,0.414,3.1,0.378,8.3,0.9,0.781,1.2,0.6,4.8,5.7,1.5,0.6,2.2,14.6,20.5,0.551,15.2,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6,"$11,003,782",0.0,2020
Paul_Millsap_2020,Paul Millsap,F,UFA,DEN,"9.0 Pts, 4.7 Reb, 1.8 Ast",BRK,/players/m/millspa01.html,257,6-7,35.0,DEN,56.0,36.0,20.8,0.476,0.9,0.343,2.6,1.3,0.724,1.8,1.4,4.7,1.8,0.9,0.6,0.9,9.0,18.6,0.565,16.4,1.7,1.6,3.2,0.133,0.3,0.7,1.0,0.9,"$10,000,000",0.0,2020
Derrick_Rose_2020,Derrick Rose,G,UFA,NYK,"14.7 Pts, 2.6 Reb, 4.2 Ast",NYK,/players/r/rosede01.html,200,6-2,32.0,TOT,50,3,25.6,.470,1.0,.388,2.6,2.2,.866,2.5,0.4,2.6,4.2,1.0,0.4,1.6,14.7,25.8,0.55,18.3,1.6,1.6,3.1,0.118,1.6,0.3,1.9,1.3,"$7,682,926",0.0,2020
Jarred_Vanderbilt_2020,Jarred Vanderbilt,F,RFA,MIN,"5.4 Pts, 5.8 Reb, 1.2 Ast",MIN,/players/v/vandeja01.html,214,6-9,21.0,MIN,64.0,30.0,17.8,0.606,0.0,0.2,0.1,0.9,0.559,1.6,1.8,5.8,1.2,1.0,0.7,0.8,5.4,12.3,0.612,16.2,1.6,1.5,3.1,0.132,-1.4,1.4,-0.1,0.5,"$1,663,861",0.0,2020
Serge_Ibaka_2020,Serge Ibaka,F-C,UFA,LAC,"11.1 Pts, 6.7 Reb, 1.8 Ast",,/players/i/ibakase01.html,235,6-10,31.0,LAC,41,39,23.3,.510,1.0,.339,2.8,1.0,.811,1.3,1.8,6.7,1.8,0.2,1.1,1.1,11.1,20.1,0.585,18.2,1.7,1.3,3.0,0.15,1.2,0.2,1.4,0.8,"$9,258,000",0.0,2020
Lauri_Markkanen_2020,Lauri Markkanen,F-C,RFA,CHI,"13.6 Pts, 5.3 Reb, 0.9 Ast",CLE,/players/m/markkla01.html,240,7-0,23.0,CHI,51.0,26.0,25.8,0.48,2.3,0.402,5.8,1.5,0.826,1.8,0.7,5.3,0.9,0.5,0.3,1.0,13.6,20.2,0.619,15.2,1.7,1.3,3.0,0.109,1.0,-0.9,0.1,0.7,"$6,731,508",0.0,2020
Willy_Hernangomez_2020,Willy Hernangómez,C,UFA,NOP,"7.8 Pts, 7.1 Reb, 1.1 Ast",NOP,/players/h/hernawi01.html,250,6-11,26.0,NOP,47.0,12.0,18.0,0.563,0.0,0.1,0.2,1.3,0.667,2.0,2.5,7.1,1.1,0.5,0.5,0.7,7.8,17.0,0.591,19.6,1.9,1.0,2.9,0.163,1.0,-1.0,0.0,0.4,"$1,737,145",0.0,2020
Kendrick_Nunn_2020,Kendrick Nunn,G,UFA,MIA,"14.6 Pts, 3.2 Reb, 2.6 Ast",LAL,/players/n/nunnke01.html,190,6-2,25.0,MIA,56,44,29.5,.485,2.2,.381,5.7,1.0,.933,1.1,0.4,3.2,2.6,0.9,0.3,1.4,14.6,20.9,0.596,14.2,1.4,1.5,2.9,0.084,-0.1,-0.4,-0.5,0.6,"$1,663,861",0.0,2020
Willie_Cauley-Stein_2020,Willie Cauley-Stein,F-C,UFA,DAL,"5.3 Pts, 4.5 Reb, 0.7 Ast",DAL,/players/c/caulewi01.html,240,7-0,27.0,DAL,53.0,16.0,17.1,0.632,0.0,0.091,0.2,0.9,0.628,1.5,1.2,4.5,0.7,0.4,0.8,0.5,5.3,12.0,0.647,14.3,1.6,1.2,2.8,0.147,-2.2,0.9,-1.3,0.2,"$4,100,000",0.0,2020
Evan_Fournier_2020,Evan Fournier,G-F,UFA,BOS,"17.1 Pts, 3.0 Reb, 3.4 Ast",NYK,/players/f/fournev01.html,205,6-7,28.0,TOT,42.0,36.0,30.0,0.457,2.8,0.413,6.7,2.6,0.788,3.3,0.2,3.0,3.4,1.1,0.5,1.7,17.1,23.1,0.598,16.7,1.8,1.0,2.8,0.107,1.5,-0.4,1.1,1.0,"$17,450,000",0.0,2020
Marc_Gasol_2020,Marc Gasol,C,UFA,MEM,"5.0 Pts, 4.1 Reb, 2.1 Ast",,/players/g/gasolma01.html,255,6-11,36.0,LAL,52,42,19.1,.454,1.0,.410,2.3,0.7,.720,1.0,0.7,4.1,2.1,0.5,1.1,1.0,5.0,11.8,0.606,12.2,0.8,1.9,2.8,0.133,-1.4,3.7,2.3,1.1,"$2,564,753",0.0,2020
Raul_Neto_2020,Raul Neto,G,UFA,WAS,"8.7 Pts, 2.4 Reb, 2.3 Ast",WAS,/players/n/netora01.html,180,6-1,28.0,WAS,64.0,22.0,21.9,0.468,1.0,0.39,2.6,1.2,0.882,1.3,0.4,2.4,2.3,1.1,0.1,0.8,8.7,15.8,0.575,13.0,1.5,1.3,2.8,0.097,-1.4,0.9,-0.6,0.5,"$1,882,867",0.0,2020
Tony_Bradley_2020,Tony Bradley,F-C,RFA,OKC,"7.1 Pts, 5.7 Reb, 0.9 Ast",CHI,/players/b/bradlto01.html,248,6-10,23.0,TOT,42.0,8.0,16.3,0.665,0.0,0.0,0.1,0.9,0.691,1.3,2.0,5.7,0.9,0.4,0.7,0.8,7.1,15.8,0.678,20.7,1.8,1.0,2.7,0.192,1.2,0.1,1.3,0.6,"$3,542,060",0.0,2020
Bryn_Forbes_2020,Bryn Forbes,G,UFA,MIL,"10.0 Pts, 1.6 Reb, 0.6 Ast",SAS,/players/f/forbebr01.html,205,6-2,27.0,MIL,70.0,10.0,19.3,0.473,2.2,0.452,4.9,0.7,0.77,0.9,0.2,1.6,0.6,0.3,0.0,0.6,10.0,18.5,0.631,12.8,2.0,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2,"$2,337,145",0.0,2020
Josh_Hart_2020,Josh Hart,G,RFA,NOP,"9.2 Pts, 8.0 Reb, 2.3 Ast",NOP,/players/h/hartjo01.html,215,6-5,25.0,NOP,47.0,4.0,28.7,0.439,1.3,0.326,4.1,1.5,0.775,1.9,1.1,8.0,2.3,0.8,0.3,1.0,9.2,13.5,0.566,12.2,1.4,1.3,2.7,0.097,-1.1,0.3,-0.8,0.4,"$3,491,159",0.0,2020
Alex_Len_2020,Alex Len,C,UFA,WAS,"6.6 Pts, 4.1 Reb, 0.8 Ast",SAC,/players/l/lenal01.html,250,7-0,27.0,TOT,64.0,42.0,15.3,0.615,0.1,0.32,0.4,1.1,0.629,1.8,1.2,4.1,0.8,0.3,1.0,0.9,6.6,16.3,0.643,16.4,1.5,1.3,2.7,0.133,-1.2,1.0,-0.1,0.5,"$2,258,000$1,697,755",0.0,2020
Carmelo_Anthony_2020,Carmelo Anthony,F,UFA,POR,"13.4 Pts, 3.1 Reb, 1.5 Ast",LAL,/players/a/anthoca01.html,238,6-7,36.0,POR,69.0,3.0,24.5,0.421,1.9,0.409,4.7,2.0,0.89,2.2,0.5,3.1,1.5,0.7,0.6,0.9,13.4,23.1,0.547,14.6,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4,"$2,564,753",0.0,2020
JaMychal_Green_2020,JaMychal Green,F,UFA,DEN,"8.1 Pts, 4.8 Reb, 0.9 Ast",DEN,/players/g/greenja01.html,227,6-8,30.0,DEN,58.0,5.0,19.3,0.463,1.4,0.399,3.4,0.8,0.807,1.0,1.5,4.8,0.9,0.4,0.4,0.9,8.1,17.6,0.59,13.6,1.4,1.2,2.6,0.11,-0.5,-1.0,-1.5,0.1,"$7,199,760",0.0,2020
Georges_Niang_2020,Georges Niang,F,UFA,UTA,"6.9 Pts, 2.4 Reb, 0.8 Ast",PHI,/players/n/niangge01.html,230,6-7,27.0,UTA,72.0,10.0,16.0,0.437,1.7,0.425,4.1,0.3,0.957,0.3,0.4,2.4,0.8,0.3,0.1,0.7,6.9,17.4,0.602,11.4,1.2,1.4,2.6,0.108,-0.4,0.1,-0.3,0.5,"$1,783,557",0.0,2020
Alex_Caruso_2020,Alex Caruso,G,UFA,LAL,"6.4 Pts, 2.9 Reb, 2.8 Ast",CHI,/players/c/carusal01.html,186,6-4,26.0,LAL,58.0,6.0,21.0,0.436,0.9,0.401,2.4,0.8,0.645,1.3,0.5,2.9,2.8,1.1,0.3,1.3,6.4,14.8,0.547,11.1,0.3,2.1,2.4,0.095,-2.5,2.5,0.0,0.6,"$2,750,000",0.0,2020
Derrick_Jones_Jr_2020,Derrick Jones Jr.,F,UFA,POR,"6.8 Pts, 3.5 Reb, 0.8 Ast",,/players/j/jonesde02.html,210,6-5,23.0,POR,58.0,43.0,22.7,0.484,0.7,0.316,2.3,1.0,0.648,1.6,1.3,3.5,0.8,0.6,0.9,0.6,6.8,12.3,0.576,11.9,1.6,0.8,2.4,0.089,-1.4,0.0,-1.4,0.2,"$9,258,000",0.0,2020
Josh_Richardson_2020,Josh Richardson,G,UFA,DAL,"12.1 Pts, 3.3 Reb, 2.6 Ast",BOS,/players/r/richajo01.html,200,6-5,27.0,DAL,59.0,56.0,30.3,0.427,1.5,0.33,4.5,1.7,0.917,1.8,0.9,3.3,2.6,1.0,0.4,1.3,12.1,18.4,0.537,11.9,1.0,1.4,2.4,0.066,-1.5,-0.2,-1.7,0.1,"$10,865,952",0.0,2020
Bismack_Biyombo_2020,Bismack Biyombo,C-F,UFA,CHO,"5.0 Pts, 5.3 Reb, 1.2 Ast",PHO,/players/b/biyombi01.html,255,6-8,28.0,CHO,66.0,36.0,20.4,0.587,0.0,0.0,0.0,0.7,0.448,1.6,2.1,5.3,1.2,0.3,1.1,1.1,5.0,11.5,0.574,11.7,0.9,1.4,2.3,0.081,-3.4,0.4,-3.0,-0.4,"$3,500,000",0.0,2020
Garrison_Mathews_2020,Garrison Mathews,G,UFA,WAS,"5.5 Pts, 1.4 Reb, 0.4 Ast",BOS,/players/m/mathega01.html,215,6-5,24.0,WAS,64.0,24.0,16.2,0.409,1.2,0.384,3.1,1.3,0.884,1.5,0.3,1.4,0.4,0.5,0.1,0.2,5.5,11.5,0.635,9.7,1.7,0.6,2.3,0.108,-1.7,-0.1,-1.8,0.1,< $Minimum,0.0,2020
Will_Barton_2020,Will Barton,G,UFA,DEN,"12.7 Pts, 4.0 Reb, 3.2 Ast",DEN,/players/b/bartowi01.html,181,6-6,30.0,DEN,56.0,52.0,31.0,0.426,1.8,0.381,4.6,1.7,0.785,2.2,0.7,4.0,3.2,0.9,0.4,1.7,12.7,19.0,0.538,11.8,0.7,1.5,2.2,0.061,-1.0,-0.8,-1.9,0.1,"$13,723,214",0.0,2020
